Customer ID,Recency,Frequency,Monetary,Total_Quantity,Unique_Products,Average_Order_Value,Cluster
12346.0,326,12,77556.46,74285,27,6463.038333333334,1
12608.0,405,1,415.79,323,16,415.79,0
12745.0,487,2,723.85,467,20,361.925,0
12746.0,541,1,254.55,97,17,254.55,0
12747.0,2,26,8898.48,2640,85,342.24923076923073,1
12748.0,1,336,53539.64,37109,2286,159.34416666666667,1
12749.0,4,9,6897.36,2360,260,766.3733333333333,1
12777.0,458,1,519.45,458,26,519.45,0
12819.0,458,1,540.52,344,19,540.52,0
12820.0,3,11,2689.52,1964,131,244.50181818181815,1
12821.0,214,2,220.8,162,13,110.4,0
12822.0,71,2,948.88,550,41,474.44,1
12823.0,75,18,6501.5,930,1,361.19444444444446,1
12824.0,60,1,397.12,232,25,397.12,0
12825.0,521,2,518.63,139,20,259.315,0
12826.0,3,12,2800.75,1915,93,233.39583333333331,1
12827.0,6,3,430.15,197,19,143.38333333333335,0
12828.0,3,6,1018.71,494,46,169.785,1
12829.0,337,3,385.3,550,17,128.43333333333334,0
12830.0,38,6,6814.64,9848,13,1135.7733333333333,1
12831.0,262,3,451.11,303,16,150.37,0
12832.0,32,2,383.03,195,27,191.515,0
12833.0,145,1,417.38,156,24,417.38,0
12834.0,283,1,312.38,110,18,312.38,0
12835.0,428,41,5996.83,2349,138,146.2641463414634,1
12836.0,59,15,6559.7300000000005,2231,280,437.3153333333333,1
12837.0,173,2,662.66,194,83,331.33,0
12838.0,34,10,2975.91,1606,230,297.591,1
12839.0,3,26,9669.12,6578,156,371.8892307692308,1
12840.0,144,7,4041.97,2258,109,577.4242857142857,1
12841.0,5,40,6958.2,5008,307,173.95499999999998,1
12842.0,70,4,1917.99,887,45,479.4975,1
12843.0,66,30,6583.36,3028,130,219.4453333333333,1
12844.0,29,4,648.6,223,88,162.15,1
12845.0,267,4,354.09,204,26,88.5225,0
12846.0,682,1,15.58,1,1,15.58,0
12847.0,22,2,1609.0,1497,100,804.5,1
12848.0,676,1,208.0,58,16,208.0,0
12849.0,31,6,3042.47,1855,123,507.0783333333333,1
12850.0,446,1,330.0,200,2,330.0,0
12851.0,97,2,280.76,157,71,140.38,0
12852.0,295,1,311.55,149,17,311.55,0
12853.0,135,11,3907.5,1668,111,355.22727272727275,1
12854.0,79,7,2970.9700000000003,1630,188,424.42428571428576,1
