Customer ID,Recency,Frequency,Monetary,Total_Quantity,Unique_Products,Average_Order_Value
12346.0,326,12,77556.46,74285,27,6463.038333333334
12608.0,405,1,415.79,323,16,415.79
12745.0,487,2,723.85,467,20,361.925
12746.0,541,1,254.55,97,17,254.55
12747.0,2,26,8898.48,2640,85,342.24923076923073
12748.0,1,336,53539.64,37109,2286,159.34416666666667
12749.0,4,9,6897.36,2360,260,766.3733333333333
12777.0,458,1,519.45,458,26,519.45
12819.0,458,1,540.52,344,19,540.52
12820.0,3,11,2689.52,1964,131,244.50181818181818
12821.0,214,2,220.8,162,13,110.4
12822.0,71,2,948.88,550,41,474.44
12823.0,75,18,6501.5,930,1,361.19444444444446
12824.0,60,1,397.12,232,25,397.12
12825.0,521,2,518.63,139,20,259.315
12826.0,3,12,2800.75,1915,93,233.39583333333334
12827.0,6,3,430.15000000000003,197,19,143.38333333333335
12828.0,3,6,1018.71,494,46,169.785
12829.0,337,3,385.3,550,17,128.43333333333334
12830.0,38,6,6814.64,9848,13,1135.7733333333333
12831.0,262,3,451.11,303,16,150.37
12832.0,32,2,383.03,195,27,191.515
12833.0,145,1,417.38,156,24,417.38
12834.0,283,1,312.38,110,18,312.38
12835.0,428,41,5996.83,2349,138,146.2641463414634
12836.0,59,15,6559.7300000000005,2231,280,437.31533333333334
12837.0,173,2,662.66,194,83,331.33
12838.0,34,10,2975.91,1606,230,297.591
12839.0,3,26,9669.12,6578,156,371.8892307692308
12840.0,144,7,4041.97,2258,109,577.4242857142857
12841.0,5,40,6958.2,5008,307,173.95499999999998
12842.0,70,4,1917.99,887,45,479.4975
12843.0,66,30,6583.36,3028,130,219.4453333333333
12844.0,29,4,648.6,223,88,162.15
12845.0,267,4,354.09,204,26,88.5225
12846.0,682,1,15.58,1,1,15.58
12847.0,22,2,1609.0,1497,100,804.5
12848.0,676,1,208.0,58,16,208.0
12849.0,31,6,3042.47,1855,123,507.0783333333333
12850.0,446,1,330.0,200,2,330.0
12851.0,97,2,280.76,157,71,140.38
12852.0,295,1,311.55,149,17,311.55
12853.0,135,11,3907.5,1668,111,355.22727272727275
12854.0,79,7,2970.9700000000003,1630,188,424.42428571428576
12855.0,373,4,612.84,240,65,153.21
12856.0,8,6,2170.78,1076,155,361.7966666666667
12857.0,211,6,3688.0,1420,71,614.6666666666666
12858.0,383,1,147.27,51,36,147.27
12859.0,459,1,575.1,292,21,575.1
12860.0,693,1,54.22,26,16,54.22
12861.0,620,1,68.25,27,4,68.25
12862.0,426,2,984.62,611,119,492.31
12863.0,52,6,2792.5499999999997,895,24,465.42499999999995
12864.0,138,2,299.57,447,5,149.785
12867.0,26,13,7829.26,7876,365,602.2507692307693
12868.0,186,8,2043.76,1170,86,255.47
12869.0,682,1,337.66999999999996,144,35,337.66999999999996
12870.0,375,3,1676.95,906,85,558.9833333333333
12871.0,84,3,744.02,484,13,248.00666666666666
12872.0,327,12,3283.96,1642,217,273.66333333333336
12873.0,282,3,2027.3,786,33,675.7666666666667
12875.0,143,5,1356.99,5187,2,271.398
12877.0,4,20,2942.14,2237,149,147.107
12878.0,236,2,854.99,547,38,427.495
12879.0,45,3,573.22,370,7,191.07333333333335
12880.0,382,2,640.13,279,32,320.065
12881.0,276,1,298.0,21,7,298.0
12882.0,9,2,1463.04,246,12,731.52
12883.0,25,4,703.47,196,39,175.8675
12884.0,88,1,309.05,43,7,309.05
12885.0,63,3,1175.22,655,66,391.74
12886.0,68,2,1378.4,770,75,689.2
12887.0,384,1,222.4,100,13,222.4
12888.0,214,2,354.12,76,4,177.06
12889.0,381,4,385.46000000000004,124,25,96.36500000000001
12890.0,24,2,706.02,457,124,353.01
12891.0,186,11,840.5,2325,2,76.4090909090909
12892.0,397,1,263.38,140,18,263.38
12893.0,31,1,176.55,90,27,176.55
12894.0,575,1,157.35,33,21,157.35
12895.0,42,2,372.8,210,22,186.4
12897.0,205,4,514.25,249,10,128.5625
12898.0,464,2,296.21000000000004,235,27,148.10500000000002
12899.0,414,1,366.4,108,17,366.4
12900.0,422,1,340.33,139,13,340.33
12901.0,9,28,17654.54,23075,30,630.5192857142857
12902.0,265,1,138.68,66,10,138.68
12903.0,429,1,833.53,493,41,833.53
12904.0,18,2,496.06,294,59,248.03
12905.0,577,2,1018.42,532,52,509.21
12906.0,12,5,2919.81,1749,55,583.962
12907.0,396,2,508.91,177,23,254.455
12908.0,176,5,1776.0,3000,1,355.2
12909.0,40,8,3103.19,1948,120,387.89875
12910.0,23,13,5796.52,3632,75,445.8861538461539
12911.0,552,1,1651.72,807,220,1651.72
12912.0,3,5,1662.3,670,17,332.46
12913.0,5,13,6283.24,3086,52,483.32615384615383
12914.0,401,1,223.98,336,9,223.98
12915.0,149,4,975.1,411,46,243.775
12916.0,139,7,4479.73,1681,82,639.9614285714285
12917.0,128,6,4359.2,1104,45,726.5333333333333
12918.0,626,1,10953.5,1,1,10953.5
12919.0,8,6,1335.19,673,34,222.53166666666667
12920.0,17,4,486.64,420,59,121.66
12921.0,9,74,35233.24,21328,322,476.12486486486483
12922.0,161,1,405.38,370,28,405.38
12923.0,64,3,770.42,230,54,256.8066666666667
12924.0,88,12,2469.4,1423,56,205.78333333333333
12925.0,5,3,729.3299999999999,649,46,243.10999999999999
12926.0,411,4,1523.97,754,202,380.9925
12927.0,395,1,197.31,145,11,197.31
12928.0,35,12,4304.89,2899,94,358.74083333333334
12929.0,312,1,117.85,37,8,117.85
12930.0,78,2,415.8,252,20,207.9
12931.0,22,57,92347.34,62906,37,1620.1287719298246
